AMGN,AXP,CAT,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,-1,0,1,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,-1,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,0,4,1,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,0,3,2,0,5,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,4,0,0,6,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
